a ,b,c
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'sulphates']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'alcohol']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'residual sugar']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'citric acid']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'density']"
RandomForestClassifier,0.68,"['free sulfur dioxide', 'pH', 'chlorides']"
LogisticRegression,0.68,"['free sulfur dioxide', 'sulphates', 'alcohol']"
LogisticRegression,0.68,"['free sulfur dioxide', 'sulphates', 'residual sugar']"
RandomForestClassifier,0.68,"['free sulfur dioxide', 'sulphates', 'residual sugar']"
LogisticRegression,0.68,"['free sulfur dioxide', 'sulphates', 'citric acid']"
RandomForestClassifier,0.68,"['free sulfur dioxide', 'sulphates', 'citric acid']"
LogisticRegression,0.68,"['free sulfur dioxide', 'sulphates', 'density']"
RandomForestClassifier,0.68,"['free sulfur dioxide', 'sulphates', 'density']"
LogisticRegression,0.68,"['free sulfur dioxide', 'alcohol', 'citric acid']"
LogisticRegression,0.68,"['free sulfur dioxide', 'alcohol', 'density']"
RandomForestClassifier,0.68,"['free sulfur dioxide', 'residual sugar', 'citric acid']"
LogisticRegression,0.68,"['free sulfur dioxide', 'residual sugar', 'density']"
RandomForestClassifier,0.68,"['free sulfur dioxide', 'residual sugar', 'density']"
LogisticRegression,0.68,"['free sulfur dioxide', 'citric acid', 'density']"
RandomForestClassifier,0.68,"['free sulfur dioxide', 'citric acid', 'density']"
LogisticRegression,0.68,"['pH', 'sulphates', 'alcohol']"
LogisticRegression,0.68,"['pH', 'sulphates', 'residual sugar']"
LogisticRegression,0.68,"['pH', 'sulphates', 'citric acid']"
LogisticRegression,0.68,"['pH', 'sulphates', 'density']"
LogisticRegression,0.68,"['pH', 'alcohol', 'residual sugar']"
LogisticRegression,0.68,"['pH', 'alcohol', 'citric acid']"
LogisticRegression,0.68,"['pH', 'alcohol', 'density']"
LogisticRegression,0.68,"['pH', 'residual sugar', 'citric acid']"
LogisticRegression,0.68,"['pH', 'residual sugar', 'density']"
LogisticRegression,0.68,"['pH', 'residual sugar', 'chlorides']"
LogisticRegression,0.68,"['pH', 'citric acid', 'density']"
LogisticRegression,0.68,"['sulphates', 'alcohol', 'citric acid']"
LogisticRegression,0.68,"['sulphates', 'alcohol', 'density']"
RandomForestClassifier,0.68,"['sulphates', 'residual sugar', 'citric acid']"
LogisticRegression,0.68,"['sulphates', 'residual sugar', 'density']"
RandomForestClassifier,0.68,"['sulphates', 'residual sugar', 'density']"
LogisticRegression,0.68,"['sulphates', 'citric acid', 'density']"
RandomForestClassifier,0.68,"['sulphates', 'citric acid', 'density']"
LogisticRegression,0.68,"['alcohol', 'citric acid', 'density']"
RandomForestClassifier,0.68,"['alcohol', 'citric acid', 'chlorides']"
RandomForestClassifier,0.68,"['residual sugar', 'citric acid', 'density']"
LogisticRegression,0.68,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
